Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,99,Yes,9,1,90
8,51,Yes,7,2,44
8,91,No,4,5,86
5,79,No,7,8,66
2,72,No,4,3,49
2,54,Yes,4,9,30
1,99,Yes,4,3,73
1,85,No,5,6,61
3,61,No,6,3,41
9,84,Yes,6,6,81
5,90,Yes,4,3,75
3,61,Yes,7,3,43
7,44,Yes,9,1,38
2,55,Yes,4,1,31
2,63,Yes,6,0,40
4,73,Yes,7,0,57
8,61,No,7,2,54
2,89,Yes,6,1,67
6,81,No,9,9,72
6,62,Yes,9,0,49
2,54,Yes,9,5,33
8,48,No,6,0,39
9,97,Yes,8,5,95
1,87,Yes,8,8,64
7,61,Yes,4,7,55
8,62,Yes,4,2,57
8,68,No,7,3,63
3,54,Yes,5,0,30
3,69,No,4,7,49
7,80,No,8,3,73
9,99,No,4,1,93
8,61,Yes,6,9,56
3,48,No,7,5,26
8,64,No,5,1,56
7,53,No,5,9,42
7,89,No,8,1,82
5,40,No,4,9,24
7,68,No,4,8,59
3,67,No,9,8,49
4,56,No,4,7,39
7,91,Yes,6,3,83
9,89,Yes,5,3,86
4,54,No,7,5,35
7,96,No,5,3,83
8,96,No,8,9,93
6,59,Yes,4,9,46
8,48,No,5,4,41
1,72,No,7,0,46
4,77,Yes,8,6,61
2,53,Yes,8,9,32
3,56,No,5,7,36
1,96,No,8,6,72
1,72,Yes,5,7,45
8,40,Yes,7,7,34
2,45,Yes,4,3,21
5,72,Yes,8,1,57
1,69,Yes,9,8,46
5,49,No,6,5,33
7,58,Yes,6,2,49
8,62,No,6,8,58
1,43,No,6,4,16
8,58,No,5,1,50
4,66,No,4,5,48
6,73,No,8,7,62
1,95,No,8,6,71
9,77,Yes,9,1,76
6,46,Yes,9,7,36
3,65,No,4,4,44
4,48,No,5,1,30
2,55,Yes,6,7,33
8,93,No,7,2,87
7,49,Yes,7,3,39
4,47,Yes,5,1,30
5,87,No,5,3,72
8,65,No,6,5,60
3,54,Yes,6,3,34
6,77,No,6,8,66
3,62,Yes,9,0,43
4,62,Yes,4,6,42
4,78,No,8,3,64
5,92,No,7,2,77
7,52,No,6,5,43
6,83,Yes,4,7,71
3,48,No,5,1,25
2,66,Yes,6,3,42
5,68,No,4,8,53
1,76,No,8,5,51
3,90,Yes,7,7,72
3,46,Yes,4,2,26
9,72,No,7,1,68
5,77,No,7,4,63
4,89,Yes,7,8,73
8,44,No,6,5,37
2,99,Yes,9,5,80
1,99,Yes,4,6,73
9,93,No,7,5,91
8,91,No,5,8,86
9,96,Yes,4,3,94
1,61,No,8,3,35
3,73,Yes,5,0,51
2,45,Yes,4,5,20
4,41,Yes,8,2,23
5,44,No,6,0,27
7,84,No,6,9,76
4,89,Yes,7,1,73
7,51,Yes,6,7,43
1,40,Yes,8,9,15
5,83,No,5,0,68
1,83,No,8,0,58
1,86,Yes,5,9,60
2,41,No,8,8,19
8,88,No,5,8,83
6,77,No,6,4,66
5,87,Yes,9,2,73
9,65,Yes,4,8,64
1,94,Yes,9,3,68
5,56,Yes,5,2,40
1,99,Yes,4,6,73
5,62,Yes,7,2,47
7,85,No,9,8,77
3,82,No,6,2,62
5,89,No,7,4,75
1,44,Yes,7,3,19
3,89,No,8,7,70
3,63,Yes,6,8,42
1,77,Yes,4,1,50
1,42,Yes,8,4,16
3,80,No,7,3,61
8,88,No,9,2,82
2,81,No,6,1,59
9,50,Yes,9,9,49
5,81,No,6,5,67
9,86,Yes,6,9,85
9,88,Yes,5,4,84
3,76,Yes,5,9,56
7,79,Yes,9,4,72
1,99,No,7,5,73
9,98,No,6,7,95
4,40,Yes,6,5,24
3,75,Yes,5,8,56
9,44,No,5,1,39
5,59,No,5,1,41
3,76,Yes,5,6,56
4,87,Yes,5,1,68
5,40,Yes,7,8,26
5,70,No,7,4,55
9,90,No,5,8,87
2,44,Yes,6,4,18
6,40,Yes,4,0,25
3,64,Yes,9,1,44
1,43,Yes,7,4,17
4,91,No,9,5,77
4,45,No,6,8,29
6,95,No,8,7,86
7,85,Yes,9,4,77
3,72,Yes,8,3,54
8,54,No,6,6,48
7,75,No,8,6,68
1,53,Yes,8,5,28
3,95,Yes,4,2,76
1,53,Yes,6,2,27
9,42,Yes,8,0,39
5,89,Yes,6,7,74
5,61,No,8,1,46
5,74,No,5,3,58
4,80,No,5,5,64
2,52,Yes,7,8,28
9,74,Yes,8,6,72
1,90,Yes,5,5,63
1,71,No,7,9,46
9,58,No,6,4,55
8,93,Yes,6,2,88
9,52,No,4,5,47
9,64,No,6,1,58
2,42,No,8,9,22
6,59,Yes,4,1,48
1,71,Yes,9,6,46
5,87,No,9,7,74
7,89,No,9,4,84
6,52,Yes,6,6,39
3,67,Yes,8,6,48
5,60,No,9,0,47
5,99,No,7,5,87
3,66,No,9,7,46
1,99,Yes,9,8,77
1,99,Yes,9,3,75
2,68,No,7,1,44
1,59,No,4,8,33
5,91,Yes,4,8,75
7,54,Yes,4,5,42
2,95,No,9,7,75
3,56,Yes,7,6,36
4,50,Yes,6,7,35
6,44,Yes,7,3,32
1,65,No,8,2,37
5,47,No,4,9,31
5,95,No,9,1,83
2,80,Yes,5,0,54
3,95,Yes,5,1,76
7,75,No,8,1,66
8,55,Yes,5,9,51
3,75,Yes,5,7,56
5,53,No,8,8,39
5,95,Yes,8,1,81
9,84,Yes,8,8,83
9,72,No,7,6,70
6,55,Yes,6,6,44
8,45,No,4,8,38
3,42,No,9,3,23
8,51,Yes,6,8,47
2,72,No,9,1,49
8,70,No,8,3,64
7,66,Yes,8,7,60
9,41,Yes,8,5,38
7,51,Yes,8,5,44
5,61,No,7,0,45
6,76,No,8,2,64
1,71,Yes,6,5,45
2,63,Yes,9,4,40
4,92,No,8,2,76
6,82,No,4,6,71
6,57,No,9,2,48
4,66,No,8,6,48
8,55,No,5,1,48
9,57,Yes,4,8,55
1,42,Yes,8,1,15
6,93,No,5,5,81
6,55,Yes,9,1,44
6,45,Yes,5,3,33
7,90,No,8,2,82
8,89,Yes,5,8,84
7,53,No,9,1,44
8,86,Yes,5,9,82
5,87,Yes,6,7,73
6,44,No,9,8,33
1,71,Yes,6,6,44
6,92,Yes,9,4,82
3,45,Yes,7,4,23
3,64,Yes,4,7,43
4,48,No,9,4,33
6,82,No,6,7,72
4,75,No,6,5,59
2,92,No,9,0,69
9,92,No,5,2,86
2,47,No,8,6,26
8,88,Yes,5,2,81
2,66,No,8,6,45
3,58,Yes,6,1,37
1,64,No,6,9,39
6,60,No,5,2,47
8,63,Yes,9,5,61
9,63,No,9,3,60
3,99,No,9,0,80
5,58,Yes,4,5,43
8,67,No,6,3,61
3,79,Yes,9,5,63
6,81,No,9,5,71
1,86,No,7,4,62
1,52,Yes,9,7,29
8,85,Yes,6,3,79
6,88,No,6,5,75
3,90,Yes,5,6,71
4,78,No,7,7,61
1,47,No,9,0,23
4,49,No,8,5,33
2,46,No,5,0,21
1,92,Yes,6,8,67
6,76,Yes,6,4,66
4,66,No,4,0,48
4,96,Yes,7,7,76
2,66,Yes,5,0,44
6,81,Yes,8,5,71
8,66,No,6,8,63
7,42,No,5,7,32
8,67,Yes,5,3,61
4,69,No,5,7,54
8,93,No,9,0,89
7,68,No,9,6,60
9,52,No,5,9,48
1,42,Yes,6,3,15
6,41,No,9,8,30
8,77,Yes,5,2,71
9,71,No,5,7,68
4,52,No,9,5,34
2,98,No,8,0,76
1,67,Yes,8,0,42
6,99,No,6,4,88
1,96,No,7,1,70
1,96,Yes,5,6,70
1,87,No,6,6,62
1,59,Yes,7,9,33
8,52,No,7,1,44
3,86,No,4,8,67
2,83,Yes,4,5,59
1,53,Yes,7,5,28
2,91,Yes,7,7,69
7,49,No,9,1,40
7,64,Yes,6,7,56
3,89,Yes,9,2,70
8,81,No,5,2,73
7,65,No,5,9,55
6,75,No,7,7,64
5,55,Yes,6,8,41
7,87,No,8,6,82
5,99,No,6,3,84
1,46,No,6,6,21
5,90,No,8,2,77
4,40,Yes,8,4,24
4,74,No,7,3,57
8,62,No,9,9,58
1,46,Yes,6,4,20
2,91,Yes,8,0,68
8,75,Yes,7,4,72
2,59,No,5,6,37
9,63,Yes,8,1,59
5,88,No,7,3,74
6,78,Yes,5,1,67
2,77,No,7,9,56
5,76,Yes,6,5,62
5,51,Yes,7,1,37
9,56,No,4,4,53
5,46,No,4,6,30
2,77,Yes,6,9,55
6,42,No,6,8,29
5,70,Yes,9,0,58
4,82,Yes,7,4,64
6,68,No,6,3,56
6,93,No,6,2,81
5,81,Yes,4,0,64
4,78,No,9,6,65
3,93,No,8,4,75
4,92,No,4,5,75
8,76,Yes,5,4,71
7,91,No,9,9,84
2,74,No,5,2,49
5,48,No,5,5,31
3,58,No,7,0,37
8,75,No,9,8,72
1,46,No,9,8,22
8,99,Yes,8,9,96
7,51,Yes,4,8,40
6,58,Yes,4,2,47
7,41,Yes,6,6,32
7,69,Yes,6,9,61
1,81,No,4,6,54
8,44,No,8,0,38
2,60,No,8,9,37
8,59,Yes,7,9,55
7,47,No,5,5,37
8,51,No,8,4,44
1,60,Yes,4,3,32
4,69,Yes,7,6,54
6,66,Yes,8,8,57
2,65,Yes,9,1,42
7,65,Yes,9,6,59
3,75,Yes,9,3,58
2,79,No,6,3,56
2,98,Yes,6,3,74
7,89,No,5,1,79
1,50,Yes,7,6,24
9,41,Yes,8,1,37
8,40,Yes,6,7,32
9,83,No,9,7,84
4,93,Yes,4,0,75
